strombedarf;1kWp;2kWp;3kWp;4kWp;5kWp;6kWp;7kWp;8kWp;9kWp;10kWp;12,5kWp;17,5kWp
2000;46;30;22;17;15;12;11;10;9;8;7;5
2100;48;31;23;18;15;13;11;10;9;8;7;5
2200;49;32;24;19;16;14;12;11;10;9;7;5
2300;50;33;24;20;16;14;12;11;10;9;7;5
2400;51;34;25;20;17;15;13;11;10;9;8;6
2500;52;35;26;21;17;15;13;12;11;10;8;6
2600;53;36;27;22;18;16;14;12;12;10;8;6
2700;54;37;28;22;19;16;14;13;12;10;9;6
2800;55;37;28;23;19;17;15;13;12;11;9;7
2900;56;38;29;23;20;17;15;13;13;12;9;7
3000;57;39;30;24;20;17;15;14;13;12;9;7
3100;58;40;30;25;21;18;16;14;14;12;10;7
3200;59;41;31;25;21;18;16;15;14;13;10;7
3300;60;42;32;26;22;19;17;15;14;13;10;8
3400;60;42;32;26;22;19;17;15;15;13;10;8
3500;61;43;33;27;23;20;17;16;15;14;11;8
3600;62;44;34;28;23;20;18;16;15;14;11;8
3700;63;44;34;28;24;21;18;16;16;14;11;8
3800;63;45;35;29;24;21;19;17;16;15;12;9
3900;64;46;36;29;25;22;19;17;16;15;12;9
4000;65;46;36;30;25;22;19;17;17;15;12;9
4100;66;47;37;30;26;22;20;18;17;15;12;9
4200;66;48;37;31;26;23;20;18;17;16;13;9
4300;67;48;38;31;27;23;21;19;17;16;13;10
4400;68;49;39;32;27;24;21;19;18;16;13;10
4500;68;49;39;32;28;24;21;19;18;16;13;10
4600;69;50;40;33;28;24;22;20;18;17;14;10
4700;70;50;40;33;28;25;22;20;19;17;14;10
4800;70;51;41;34;29;25;22;20;19;17;14;11
4900;71;52;41;34;29;26;23;21;19;17;14;11
5000;71;52;42;35;30;26;23;21;20;18;15;11
5100;72;53;42;35;30;26;24;21;20;18;15;11
5200;72;53;43;36;31;27;24;22;20;18;15;11
5300;73;54;43;36;31;27;24;22;21;19;15;12
5400;73;54;44;37;31;28;25;22;21;19;16;12
5500;74;55;44;37;32;28;25;22;21;19;16;12
5600;74;55;45;37;32;28;25;23;21;19;16;12
5700;75;56;45;38;33;29;26;23;22;20;16;12
5800;75;56;46;38;33;29;26;23;22;20;16;12
5900;76;57;46;39;33;29;26;24;22;20;17;13
6000;76;57;46;39;34;30;27;24;23;20;17;13
6100;77;57;47;39;34;30;27;24;23;21;17;13
6200;77;58;47;40;35;30;27;25;23;21;17;13
6300;78;58;48;40;35;31;28;25;23;21;18;13
6400;78;59;48;41;35;31;28;25;24;22;18;14
6500;79;59;48;41;36;31;28;26;24;22;18;14
6600;79;60;49;41;36;32;28;26;24;22;18;14
6700;79;60;49;42;36;32;29;26;24;22;19;14
6800;80;60;50;42;37;32;29;26;25;23;19;14
6900;80;61;50;43;37;33;29;27;25;23;19;14
7000;80;61;50;43;37;33;30;27;25;23;19;15
7100;81;62;51;43;38;33;30;27;25;23;19;15
7200;81;62;51;44;38;34;30;28;26;24;20;15
7300;81;62;51;44;38;34;31;28;26;24;20;15
7400;82;63;52;44;39;34;31;28;26;24;20;15
7500;82;63;52;45;39;35;31;28;27;24;20;16
7600;82;63;52;45;39;35;31;29;27;25;20;16
7700;83;64;53;45;40;35;32;29;27;25;21;16
7800;83;64;53;46;40;36;32;29;27;25;21;16
7900;83;64;53;46;40;36;32;29;28;25;21;16
8000;83;65;54;46;41;36;33;30;28;25;21;16
8100;84;65;54;47;41;37;33;30;28;26;21;17
8200;84;66;54;47;41;37;33;30;28;26;22;17
8300;84;66;55;47;42;37;33;30;29;26;22;17
8400;85;66;55;48;42;37;34;31;29;26;22;17
8500;85;67;55;48;42;38;34;31;29;27;22;17
8600;85;67;56;48;43;38;34;31;29;27;22;17
8700;86;67;56;49;43;38;35;32;29;27;23;18
8800;86;68;56;49;43;38;35;32;30;27;23;18
8900;86;68;57;49;44;39;35;32;30;28;23;18
9000;86;68;57;49;44;39;35;32;30;28;23;18
9100;87;69;57;50;44;39;36;33;30;28;23;18
9200;87;69;58;50;45;39;36;33;31;28;24;18
9300;87;69;58;50;45;40;36;33;31;28;24;19
9400;87;70;58;50;45;40;36;33;31;29;24;19
9500;87;70;58;51;45;40;37;34;31;29;24;19
9600;88;70;59;51;45;41;37;34;31;29;24;19
9700;88;70;59;51;46;41;37;34;32;29;25;19
9800;88;71;59;52;46;41;37;34;32;29;25;19
9900;88;71;60;52;46;42;38;34;32;30;25;19
10000;89;71;60;52;46;42;38;35;32;30;25;19
