Jahr;Vergütung;Gestehungskosten;Strompreis;Ökostrompreis;Gestehungskosten_GI;Gestehungskosten_HI;Stabilisierung;Anreiz
2021;7.53;8.5;32.16;33;8.5;8.534732321;7.53;7.53
2022;6.3;8.122445481;32.37511156;33.22073015;7.785649428;8.361534265;7;10
2023;5.6;7.781887075;32.52876267;33.37839454;7.184134409;8.197370323;7;10
2024;5;7.474699576;32.74387424;33.59912468;6.677631956;8.04176927;7;10
2025;4.5;7.197613009;32.92825557;33.78832195;6.251134316;7.894284461;7;10
2026;4;6.947677822;32.98971602;33.85138771;5.892004296;7.754492548;6.5;10
2027;3.6;6.722233482;33.11263691;33.97751922;5.589600814;7.621992265;6.5;10
2028;3.2;6.518880161;33.20482758;34.07211785;5.334963605;7.496403276;6.5;10
2029;2.9;6.335453186;33.29701825;34.16671649;5.120547726;7.377365083;6.5;10
2030;2.5;6.17;33.41993914;34.292848;4.94;7.264535994;6.5;10
2031;0;6.020759372;33.54286003;34.41897951;4.787970768;7.157592137;6;10
2032;0;5.886142653;33.72724137;34.60817678;4.65995538;7.056226536;6;10
2033;0;5.764716864;33.85016226;34.73430829;4.552160717;6.960148225;6;10
2034;0;5.655189442;34.0345436;34.92350556;4.461392807;6.869081416;6;10
2035;0;5.55639448;34.15746449;35.04963707;4.384962182;6.782764707;6;10
2036;0;5.467280317;34.09600404;34.98657131;4.320604189;6.700950328;5;10
2037;0;5.386898343;34.0345436;34.92350556;4.266411891;6.623403437;5;10
2038;0;5.314392903;33.97308315;34.8604398;4.22077956;6.549901437;5;10
2039;0;5.248992182;33.91162271;34.79737405;4.182355104;6.480233346;5;10
2040;0;5.19;33.85016226;34.73430829;4.15;6.414199184;5;10
2041;0;5.13678839;33.72724137;34.60817678;4.12275556;6.351609404;0;10
2042;0;5.088790922;33.57359025;34.45051239;4.099814528;6.292284344;0;10
2043;0;5.045496668;33.45066936;34.32438088;4.080497156;6.236053714;0;10
2044;0;5.006444766;33.29701825;34.16671649;4.064231068;6.182756108;0;10
2045;0;4.971219512;33.17409736;34.04058497;4.050534297;6.132238537;0;10
2046;0;4.939445939;33.11263691;33.97751922;4.039001005;6.084355992;0;10
2047;0;4.91078582;33.05117646;33.91445346;4.02928946;6.03897103;0;10
2048;0;4.884934071;32.98971602;33.85138771;4.021111905;5.995953374;0;10
2049;0;4.861615504;32.92825557;33.78832195;4.01422604;5.955179545;0;10
2050;0;4.840581895;32.86679513;33.72525619;4.008427835;5.916532503;0;10
